Index,Call Number,Title,Barcode,Notes,Image_barcode,Image_1,Image_2,Image_3,Year,Author,Interventions,Location-Building,Location-Shelf,Class,Subclass,Decade2,Language,Location,,
BMC-PR-0185,PR3411 .S3 1821 (vol. 1),"The works of John Dryden, now first collected in eighteen volumes.",3.1796E+13,,B_Images/BMC-PR-0185.Image_barcode.193943.jpg,B_Images/BMC-PR-0185.Image_1.193943.jpg,B_Images/BMC-PR-0185.Image_2.193943.jpg,B_Images/BMC-PR-0185.Image_3.193946.jpg,1821,"Dryden, John, 1631-1700.",Yes,Canaday Library,Stacks (Monographs),P,PR,1820s,English,stk,,
BMC-PR-0186,PR3411 .S3 1821 (vol. 15),"The works of John Dryden, now first collected in eighteen volumes.",3.1796E+13,,B_Images/BMC-PR-0186.Image_barcode.194054.jpg,B_Images/BMC-PR-0186.Image_1.194054.jpg,B_Images/BMC-PR-0186.Image_2.194054.jpg,B_Images/BMC-PR-0186.Image_3.194057.jpg,1821,"Dryden, John, 1631-1700.",Yes,Canaday Library,Stacks (Monographs),P,PR,1820s,English,stk,,
BMC-BS-0001,BS1.W2 W9 (vol. 1),"Briani Waltoni, In Biblia polyglotta prolegomena specialia recognovit dathianisque et variorum notis suas immiscuit.",3.1796E+13,,B_Images/BMC-BS-0001.Image_barcode.190700.jpg,B_Images/BMC-BS-0001.Image_1.190708.jpg,B_Images/BMC-BS-0001.Image_2.190825.jpg,,1828,"Wrangham, Francis, 1769-1842.",Yes,Canaday Library,Stacks (Monographs),B,BS,1820s,Latin,xx ,,
BMC-DC-0025,DC60 .G82 (vol. 15),"Collection des mémoires relatifs à l'histoire de France, depuis la fondation de la monarchie française jusqu'au 13e siècle;",31796001141734,,,,,,1823-35.,"Guizot, François, 1787-1874 ed.",No,Canaday Library,Stacks (Monographs),D,DC,1820s,NA,NA,,
BMC-DC-0026,DC60 .G82 (vol. 23),"Collection des mémoires relatifs à l'histoire de France, depuis la fondation de la monarchie française jusqu'au 13e siècle;",31796001141866,,,,,,1823-35.,"Guizot, François, 1787-1874 ed.",No,Canaday Library,Stacks (Monographs),D,DC,1820s,NA,NA,,
BMC-DC-0027,DC60 .G82 (vol. 18),"Collection des mémoires relatifs à l'histoire de France, depuis la fondation de la monarchie française jusqu'au 13e siècle;",31796001141916,,,,,,1823-35.,"Guizot, François, 1787-1874 ed.",No,Canaday Library,Stacks (Monographs),D,DC,1820s,NA,NA,,
BMC-DC-0028,DC60 .G82 (vol. 28),"Collection des mémoires relatifs à l'histoire de France, depuis la fondation de la monarchie française jusqu'au 13e siècle;",31796001142112,,,,,,1823-35.,"Guizot, François, 1787-1874 ed.",No,Canaday Library,Stacks (Monographs),D,DC,1820s,NA,NA,,
BMC-PR-0099,PR2350 1825 (vol. 1),Poetical works of Edmund Spenser in five volumes.,3.1796E+13,,,,,,1825,"Spenser, Edmund, 1552?-1599.",No,Canaday Library,Stacks (Monographs),P,PR,1820s,NA,enk,,
BMC-PR-0100,PR2350 1825 (vol. 3),Poetical works of Edmund Spenser in five volumes.,3.1796E+13,,,,,,1825,"Spenser, Edmund, 1552?-1599.",No,Canaday Library,Stacks (Monographs),P,PR,1820s,NA,enk,,
BMC-BR-0049,BR75 .L54 1822 (vol. 6),"The whole works of the Rev. John Lightfoot, master of Catharine Hall, Cambridge /",3.1796E+13,,,,,,1822-1825.,"Lightfoot, John, 1602-1675.",No,Canaday Library,Stacks (Monographs),B,BR,1820s,English,enk,,
