Index,Call Number,Title,Barcode,Notes,Image_barcode,Image_1,Image_2,Image_3,Year,Author,Interventions,Intervention-mod,Location-Building,Location-Shelf,Class,Subclass,Subclass1,Bookplate,Local interest,pub year,Decade,location code,lang code,Language,pub city,publisher,subjects,title2
BMC-BR-0001,BR45 .B3 1866,"The divinity of our Lord and Saviour Jesus Christ : eight lectures preached before the University of Oxford in the year 1866, on the foundation of the late Rev. John Bampton, M.A., canon of Salisbury ",3.1796E+13,,,,,,1885,"Liddon, H. P. 1829-1890. (Henry Parry),",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1885,1880,enk,eng,English,London ,"Rivingtons,",,"The divinity of our Lord and Saviour Jesus Christ :eight lectures preached before the University of Oxford in the year 1866, on the foundation of the late Rev. John Bampton, M.A., canon of Salisbury /"
BMC-BR-0002,BR45 .B3 1891,The incarnation of the Son of God,3.17961E+13,,,,,,1891,"Gore, Charles, 1853-1932.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1891,1890,enk,eng,English,London ,"Murray,",Incarnation.,The incarnation of the Son of God 
BMC-BR-0003,BR45 .B3 1903,"The influence of Christianity upon national character, illustrated by the lives and legends of the English saints; being the Bampton lectures preached before the University of Oxford in the year 1903,",3.1796E+13,,,,,,1903,"Hutton, William Holden, 1860-1930.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1903,1900,nyu,eng,English,New York ,"Dutton,",Saints; England.,"The influence of Christianity upon national character,illustrated by the lives and legends of the English saints; being the Bampton lectures preached before the University of Oxford in the year 1903,"
BMC-BR-0004,"BR45 .T4 v.22, pt.3","Eusebius Kirchengeschichte, Buch VI und VII;",3.1796E+13,,,,,,1902,"Eusebius, of Caesarea, Bishop of Caesarea, approximately 260-approximately 340.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1902,1900,   ,ger,German,Leipzig ,"J. C. Hinrichs,","Church history; Primitive and early church, ca. 30-600.","Eusebius Kirchengeschichte, Buch VI und VII;"
BMC-BR-0005,"BR45 .T4 v.23, pt.1","Komposition und Entstehungszeit der Oracula sibyllina,",3.1796E+13,,,,,,1902,"Geffcken, Johannes, 1861-1935.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1902,1900,   ,ger,German,Leipzig ,"J. C. Hinrichs,",,"Komposition und Entstehungszeit der Oracula sibyllina,"
BMC-BR-0006,"BR45 .T4 v.32, pt.1",Der erste Clemensbrief in altkoptischer Übersetzung ,3.1796E+13,,,,,,1908,"Clement I, Pope.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1908,1900,   ,ger,German,Leipzig ,"J. C. Hinrichs,",,Der erste Clemensbrief in altkoptischer Übersetzung /
BMC-BR-0007,BR45.T62 T5,"Tertullian's treatises : Concerning prayer, Concerning baptism ",3.1796E+13,,,,,,1919,"Tertullian, approximately 160-approximately 230.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1919,1910,enk,eng,English,London ,Society for Promoting Christian Knowledge ;,,"Tertullian's treatises :Concerning prayer, Concerning baptism /"
BMC-BR-0008,BR50 .S98,"Essays on some theological questions of the day,",3.1796E+13,,,,,,1905,"Swete, Henry Barclay, 1835-1917 ed.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1905,1900,enk,eng,English,London ,"Macmillan and co., limited;","Christianity.| Theology, Doctrinal.","Essays on some theological questions of the day,"
BMC-BR-0009,BR60 .A4 v.1,The writings of the Apostolic fathers ,3.1796E+13,,,,,,1873,,None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1873,1870,stk,eng,English,Edinburgh ,"T. & T. Clark,","Christian literature, Early.",The writings of the Apostolic fathers /
BMC-BR-0010,BR60 .A4 v.10,Writings of Origen ,3.1796E+13," 2 versions of the same v 10, neither have matching barcode but cop.2 is close",B_Images/BMC-BR-0010.Image_barcode.173552.jpg,,,,1871-72.,Origen.,None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1871,1870,stk,   ,,"Edin.,",,,Writings of Origen /
BMC-BR-0011,BR60 .A4 v.14,"The writings of Methodius, Alexander of Lycopolis, Peter of Alexandria, and several fragments.",3.1796E+13,,,,,,1869,"Methodius, of Olympus, Saint, -311.",None,BMC marks or bookplate,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,"Francis R. Cope, esq.",,1869,1860,stk,eng,English,Edinburgh ,"T. & T. Clark,","Christian literature, Early.","The writings of Methodius, Alexander of Lycopolis, Peter of Alexandria, and several fragments."
BMC-BR-0012,BR60 .A4 v.16,Apocryphal gospels : acts & revelations.,3.1796E+13,,,,,,1870,"Walker, Alexander tr.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1870,1870,stk,eng,English,"Edin.,",,,Apocryphal gospels :acts & revelations.
BMC-BR-0013,BR60.A6 M35 v.81,"Patrologiae cursus completus : seu bibliotheca universalis, integra, uniformis, commoda, oeconomica, omnium SS. Patrum, doctorum scriptorumque ecclesiasticorum, sive Latinorum, sive Graecorum, qui ab aevo apostolico ad aetatem Innocentii III (ann. 1216) pro occidentalibus, et ad Photii tempora (ann. 863) pro orientalibus, floruerunt ... ",3.1796E+13,,,,,,1856-,"Migne, J.-P. 1800-1875 ed. (Jacques-Paul),",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1856,1850,fr ,lat,Latin,Parisiis ,"Migne,","Fathers of the church, Greek.| Christian literature, Early.","Patrologiae cursus completus :seu bibliotheca universalis, integra, uniformis, commoda, oeconomica, omnium SS. Patrum, doctorum scriptorumque ecclesiasticorum, sive Latinorum, sive Graecorum, qui ab aevo apostolico ad aetatem Innocentii III (ann. 1216) pro occidentalibus, et ad Photii tempora (ann. 863) pro orientalibus, floruerunt ... /"
BMC-BR-0014,BR60.A6 M35 v.81,"Patrologiae cursus completus : seu bibliotheca universalis, integra, uniformis, commoda, oeconomica, omnium SS. Patrum, doctorum scriptorumque ecclesiasticorum, sive Latinorum, sive Graecorum, qui ab aevo apostolico ad aetatem Innocentii III (ann. 1216) pro occidentalibus, et ad Photii tempora (ann. 863) pro orientalibus, floruerunt ... ",3.1796E+13,,,,,,1856-,"Migne, J.-P. 1800-1875 ed. (Jacques-Paul),",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1856,1850,fr ,lat,Latin,Parisiis ,"Migne,","Fathers of the church, Greek.| Christian literature, Early.","Patrologiae cursus completus :seu bibliotheca universalis, integra, uniformis, commoda, oeconomica, omnium SS. Patrum, doctorum scriptorumque ecclesiasticorum, sive Latinorum, sive Graecorum, qui ab aevo apostolico ad aetatem Innocentii III (ann. 1216) pro occidentalibus, et ad Photii tempora (ann. 863) pro orientalibus, floruerunt ... /"
BMC-BR-0015,BR60.C3 G73 1899,The five theological orations of Gregory of Nazianzus.,3.1796E+13,,,,,,1899,"Gregory, of Nazianzus, Saint.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1899,1890,enk,eng,English,Cambridge,"University Press,","Eunomianism.| Holy Spirit.| Sermons, Greek.",The five theological orations of Gregory of Nazianzus.
BMC-BR-0016,BR60 .C49 v.68A,Opera.,3.1796E+13,,,,,,19--,"Prosper, of Aquitaine, Saint, ca 390-ca. 463.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,,,,,,,,,
BMC-BR-0017,BR60 .C6 v.65,S. Hilarii episcopi Pictaviensis Opera,3.17961E+13,,,,,,1916-,"Hilary, Saint, Bishop of Poitiers, -367?",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1916,1910,au ,lat,Latin,Vindobonae ,F. Tempsky ;,Theology; Early works to 1800.,S. Hilarii episcopi Pictaviensis Opera 
BMC-BR-0018,BR60 .C6 v.76,Opera ,3.1796E+13,,,,,,1890-1964.,"Tertullian, approximately 160-approximately 230.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1890,1890,au ,lat,Latin,Vindobonae ,"Tempsky,",,Opera /
BMC-BR-0019,BR60 .M35 v.108,"... Opera omnia : juxta editionem Georgii Colvenerii anno 1617 coloniae agrippinae datam, mendis quibus scatebat innumeris cura qua par erat expurgatam, novissime ad prelum revocata, et novo ordine, chronologico scilicet, digesta .",3.1796E+13,,,,,,1864-78.,"Hrabanus Maurus, abp.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1864,1860,fr ,lat,Latin,Par. ,Migne ;,,"... Opera omnia :juxta editionem Georgii Colvenerii anno 1617 coloniae agrippinae datam, mendis quibus scatebat innumeris cura qua par erat expurgatam, novissime ad prelum revocata, et novo ordine, chronologico scilicet, digesta ."
BMC-BR-0020,BR60 .M35 v.114,Walafridi Strabi Fuldensis monachi opera omnia ,3.1796E+13,,,,,,1879,"Walahfrid Strabo, 807?-849.",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1879,1870,fr ,lat,Latin,Parisiis ,"Apud Garnier Fratres,",Botany; Pre-Linnean works; Poetry.| Theology; Early works to 1800.,Walafridi Strabi Fuldensis monachi opera omnia /
BMC-BR-0021,BR60 .M35 v.146,"Othloni monachi S. Emmerammi, Opera omnia, ad fidem editionum melioris notae recognita expressa et emendata : accedunt Adami canonici Bremensis, gundechari eischtettensis episcopi Lamberti Hersfeldensis, Petri Malleacensis ; Annales et chronica ; intermiscentur Alexandri II papae ... [et al.] opuscula, diplomata, epistolae ",3.1796E+13,,,,,,1884,"Othlo, Monk of St. Emmeram, approximately 1010-approximately 1070.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1884,1880,fr ,lat,Latin,Parisiis ,"Garnier,",Theology; Early works to 1800.,"Othloni monachi S. Emmerammi, Opera omnia, ad fidem editionum melioris notae recognita expressa et emendata :accedunt Adami canonici Bremensis, gundechari eischtettensis episcopi Lamberti Hersfeldensis, Petri Malleacensis ; Annales et chronica ; intermiscentur Alexandri II papae ... [et al.] opuscula, diplomata, epistolae /"
BMC-BR-0022,BR60 .M35 v.155,"Godefridi Bullonii Lotharingiæ ducis postmodum Hierosolymorum regis primi Epistolæ et diplomata : accedunt appendices amplissimæ monumenta perplurima de bello sacro complectentes sequuntur [R]adulphi Ardentis Homiliæ duobus tomis distributæ intermiscentur Lupi Protospatarii Chronicon necnon Anselmi Mediolanensis ... [et al.] opuscula, diplomata, epistolæ ",3.1796E+13,,,,,,1880,"Godfrey, of Bouillon, approximately 1060-1100.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1880,1880,fr ,lat,Latin,Parisiis ,"Garnier fratres, editores et J.-P. Migne successores,","Crusades; First, 1096-1099; History; Sources.| Theology; Early works to 1800.| Theology; History; Middle Ages, 600-1500.","Godefridi Bullonii Lotharingiæ ducis postmodum Hierosolymorum regis primi Epistolæ et diplomata :accedunt appendices amplissimæ monumenta perplurima de bello sacro complectentes sequuntur [R]adulphi Ardentis Homiliæ duobus tomis distributæ intermiscentur Lupi Protospatarii Chronicon necnon Anselmi Mediolanensis ... [et al.] opuscula, diplomata, epistolæ /"
BMC-BR-0023,BR60 .M35 v.171,"Venerabilis Hildeberti primo Cenomanensis episcopi deinde Turonensis archiepiscopi opera omnia tam edita quam inedita ; accesserunt Marbodi Redonensis episcopi, ipsius Hildeberti supparis opuscula ... de novo edita cum notis et quam plurimis additis genuinis operibus, e cod. mss. Erutis ",3.1796E+13,,,,,,1893,"Hildebert, Archbishop of Tours, 1056?-1133.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1893,1890,fr ,lat,Latin,Parisiis ,"J.-P. Migne,","Theology; History; Middle Ages, 600-1500.| Church history; Middle Ages, 600-1500.","Venerabilis Hildeberti primo Cenomanensis episcopi deinde Turonensis archiepiscopi opera omnia tam edita quam inedita ; accesserunt Marbodi Redonensis episcopi, ipsius Hildeberti supparis opuscula ... de novo edita cum notis et quam plurimis additis genuinis operibus, e cod. mss. Erutis /"
BMC-BR-0024,BR60 .M35 v.175,"Hugonis de S. Victore canonici regularis S. Victoris Parisiensis : tum pietate, tum doctrina insignis opera omnia; tribus tomis digesta ex manuscriptis ejusdem operibus quae in Bibliotheca Victorina servantur accurate castigata et emendata, cum vita ipsius antehac nusquam edita ",3.1796E+13,,,,,,1879-1880.,"Hugh, of Saint-Victor, 1096?-1141.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1879,1870,fr ,lat,Latin,Paris ,"Garnier Fratres & J.-P. Migne successores,",,"Hugonis de S. Victore canonici regularis S. Victoris Parisiensis :tum pietate, tum doctrina insignis opera omnia; tribus tomis digesta ex manuscriptis ejusdem operibus quae in Bibliotheca Victorina servantur accurate castigata et emendata, cum vita ipsius antehac nusquam edita /"
BMC-BR-0025,BR60 .M35 v.203,"D. Philippi abbatis Bonæ Spei sacri ordinis Præmonstratensium auctoris disertissimi et D. Bernardo Clarævallensi contemporanei opera omnia juxta editionem quam anno 1621 in urbe Duacensi prelo subjecit Nicolaus Chamart, abbas Bonæ Spei ",3.1796E+13,,,,,,1855,"Philippus, de Harveng, Abbot, d. 1183.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1855,1850,fr ,lat,Latin,Parisiis ,"J.-P. Migne,","Theology; History; Middle Ages, 600-1500.| Church history; Middle Ages, 600-1500.","D. Philippi abbatis Bonæ Spei sacri ordinis Præmonstratensium auctoris disertissimi et D. Bernardo Clarævallensi contemporanei opera omnia juxta editionem quam anno 1621 in urbe Duacensi prelo subjecit Nicolaus Chamart, abbas Bonæ Spei /"
BMC-BR-0026,BR60 .M35 v.218,"Indices, generales, simul et speciales, Patrologiae Latinae : alphabetice, chronologice, statistice, synthetice, analytice, analogice, logice, theologice, hierarchice, bibliographice, biographice, etc. ... ",3.1796E+13,,,,,,1887-1890.,"Migne, J.-P. 1800-1875. (Jacques-Paul),",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1887,1880,fr ,lat,Latin,Parisiis ,"Apud Garnier Fratres,","Fathers of the church, Latin; Indexes.| Christian literature, Early; Latin authors; Indexes.| Theology; History; Middle Ages, 600-1500; Indexes.","Indices, generales, simul et speciales, Patrologiae Latinae :alphabetice, chronologice, statistice, synthetice, analytice, analogice, logice, theologice, hierarchice, bibliographice, biographice, etc. ... /"
BMC-BR-0027,BR60 .M35 v.218,"Indices, generales, simul et speciales, Patrologiae Latinae : alphabetice, chronologice, statistice, synthetice, analytice, analogice, logice, theologice, hierarchice, bibliographice, biographice, etc. ... ",3.1796E+13,,,,,,1887-1890.,"Migne, J.-P. 1800-1875. (Jacques-Paul),",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1887,1880,fr ,lat,Latin,Parisiis ,"Apud Garnier Fratres,","Fathers of the church, Latin; Indexes.| Christian literature, Early; Latin authors; Indexes.| Theology; History; Middle Ages, 600-1500; Indexes.","Indices, generales, simul et speciales, Patrologiae Latinae :alphabetice, chronologice, statistice, synthetice, analytice, analogice, logice, theologice, hierarchice, bibliographice, biographice, etc. ... /"
BMC-BR-0028,BR60 .M35 v.23,"... Sancti Eusebii Hieronymi stridonensis presbyteri Opera omnia ... post monachorum Ordinis s. Benedicti e Congregatione s. Mauri sed potissimum Joannis Martianæi, recensionem, denuo ad manuscriptos romanos, ambrosianos, veronenses et multos alios, nec non ad omnes editiones gallicanas et exteras castigata, plurimis antea omnino ineditis monumentis, aliisque s. doctoris lucubrationibus seorsim tantum vulgatis aucta, notis et observationibus ",3.1796E+13,,,,,,1846-89.,"Jerome, Saint, -419 or 420.",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1846,1840,fr ,lat,Latin,Parisiis ,"excudebatur et venit apud J. -P. Migne,","Theology; History; Early church, ca. 30-600.| Theology; Early works to 1800.","... Sancti Eusebii Hieronymi stridonensis presbyteri Opera omnia... post monachorum Ordinis s. Benedicti e Congregatione s. Mauri sed potissimum Joannis Martianæi, recensionem, denuo ad manuscriptos romanos, ambrosianos, veronenses et multos alios, nec non ad omnes editiones gallicanas et exteras castigata, plurimis antea omnino ineditis monumentis, aliisque s. doctoris lucubrationibus seorsim tantum vulgatis aucta, notis et observationibus /"
BMC-BR-0029,BR60 .M35 v.23,"... Sancti Eusebii Hieronymi stridonensis presbyteri Opera omnia ... post monachorum Ordinis s. Benedicti e Congregatione s. Mauri sed potissimum Joannis Martianæi, recensionem, denuo ad manuscriptos romanos, ambrosianos, veronenses et multos alios, nec non ad omnes editiones gallicanas et exteras castigata, plurimis antea omnino ineditis monumentis, aliisque s. doctoris lucubrationibus seorsim tantum vulgatis aucta, notis et observationibus ",3.1796E+13,,,,,,1846-89.,"Jerome, Saint, -419 or 420.",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1846,1840,fr ,lat,Latin,Parisiis ,"excudebatur et venit apud J. -P. Migne,","Theology; History; Early church, ca. 30-600.| Theology; Early works to 1800.","... Sancti Eusebii Hieronymi stridonensis presbyteri Opera omnia... post monachorum Ordinis s. Benedicti e Congregatione s. Mauri sed potissimum Joannis Martianæi, recensionem, denuo ad manuscriptos romanos, ambrosianos, veronenses et multos alios, nec non ad omnes editiones gallicanas et exteras castigata, plurimis antea omnino ineditis monumentis, aliisque s. doctoris lucubrationibus seorsim tantum vulgatis aucta, notis et observationibus /"
BMC-BR-0030,BR60 .M35 v.63,"Boetii, ennodii felicis, trifolii presbyteri, hormisdæ papæ, elpidis uxoris boetii opera omnia.",3.1796E+13,,,,,,1882-1891.,"Boethius, -524.",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1882,1880,fr ,lat,Latin,Petit-Montrouge ,"J.P. Migne,","Philosophy.| Theology; History; Early church, ca. 30-600.","Boetii, ennodii felicis, trifolii presbyteri, hormisdæ papæ, elpidis uxoris boetii opera omnia."
BMC-BR-0031,BR60 .M35 v.65,"... S. Fulgentii episcopi ruspensis, Felicis IV et Bonifacii II summorum pontificum, ss. Eleutherii et Remigii tornacensis remensisque episcoporum, Prosperi ex manichæo conversi, Montani episcopi toletani, opera omnia, ex memoratissimis editionibus Mangeantii, Mansi, Gallandii, Margarini de La Bigne, Francisci de Lorenzana diligenter expressa;",3.1796E+13,,,,,,1861,,None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1861,1860,fr ,lat,Latin,"Lutetiæ Parisiorum,","excudebatur et venit apud J.-P. Migne, editorem,","Fathers of the church, Latin.","... S. Fulgentii episcopi ruspensis, Felicis IV et Bonifacii II summorum pontificum, ss. Eleutherii et Remigii tornacensis remensisque episcoporum, Prosperi ex manichæo conversi, Montani episcopi toletani, opera omnia, ex memoratissimis editionibus Mangeantii, Mansi, Gallandii, Margarini de La Bigne, Francisci de Lorenzana diligenter expressa;"
BMC-BR-0032,BR60 .P25 f (vol. 7 pt. 5),Patrologia orientalis.,3.1796E+13,,,,,,1907-1975.,,None,None,Carpenter Library,Folio,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,,,,,,,,,
BMC-BR-0033,BR60 .S4 1886 (vol. 1),A Select library of the Nicene and post-Nicene fathers of the Christian church ,3.1796E+13,,,,,,1886-90.,,None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1886,1880,nyu,eng,English,New York ,"The Christian literature co.,",Fathers of the church.,A Select library of the Nicene and post-Nicene fathers of the Christian church /
BMC-BR-0034,BR60 .S4 1890 (vol. 12),A Select library of Nicene and post-Nicene fathers of the Christian church.,3.1796E+13,,,,,,1890-1900.,,None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1890,1890,nyu,eng,English,New York ,"Christian Literature Company,",Fathers of the church.| Councils and synods.,A Select library of Nicene and post-Nicene fathers of the Christian church.
BMC-BR-0035,BR65.A5 E5 (vol. 2),The works of Aurelius Augustine ... : A new translation ,3.1796E+13,,,,,,1872-[1934],"Augustine, of Hippo, Saint, 354-430.",None,BMC marks or bookplate,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,Berkeley divinity school library,,1872,1870,stk,eng,English,Edinburgh ,"t. & T. Clark,","Theology; History; Early church, ca. 30-600.| Theology; Early works to 1800.",The works of Aurelius Augustine ... :A new translation /
BMC-BR-0036,BR65.A5 E5 (vol. 14),The works of Aurelius Augustine ... : A new translation ,3.1796E+13,Mixed old and new intervention (red pen) ,B_Images/BMC-BR-0036.Image_barcode.181718.jpg,B_Images/BMC-BR-0036.Image_1.181726.jpg,,,1872-[1934],"Augustine, of Hippo, Saint, 354-430.",Low interest,Reader marks - low,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,Berkeley Divinity School Library,TRUE,1872,1870,stk,eng,English,Edinburgh ,"t. & T. Clark,","Theology; History; Early church, ca. 30-600.| Theology; Early works to 1800.",The works of Aurelius Augustine ... :A new translation /
BMC-BR-0037,BR65 .A6 1908,The confessions of Augustine ,3.17961E+13,,,,,,1908,"Augustine, of Hippo, Saint, 354-430.",None,BMC marks or bookplate,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,Cambridge university warehouse,,1908,1900,enk,eng,English,"Cambridge England,","University press,",,The confessions of Augustine /
BMC-BR-0038,BR65.A6 E5 1838,The confessions of S. Augustine ,3.17961E+13,,,,,,1838,"Augustine, of Hippo, Saint, 354-430.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1838,1830,enk,eng,English,Oxford ,"J. H. Parker,",,The confessions of S. Augustine /
BMC-BR-0039,BR65.A65 S34 1967,Glaube und Unglaube in der Weltgeschichte : ein Kommentar zu Augustins De civitate Dei. Mit einem Exkurs: Fruitio Dei; ein Beitrag zur Geschichteder Theologie und der Mystik.,3.17961E+13,,,,,,1911,"Scholz, Heinrich, 1884-1956.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1911,1910,ge ,ger,German,Leipzig ,"J. C. Hinrichs,",,Glaube und Unglaube in der Weltgeschichte :ein Kommentar zu Augustins De civitate Dei. Mit einem Exkurs: Fruitio Dei; ein Beitrag zur Geschichteder Theologie und der Mystik.
BMC-BR-0040,BR65.A79 S5,The letters of St. Augustine ,3.1796E+13,,,,,,1919,"Sparrow-Simpson, W. J. 1859-1952. (William John),",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1919,1910,enk,eng,English,London ,Society for promoting Christian knowledge;,,The letters of St. Augustine /
BMC-BR-0041,BR65 .D5 1897,The works of Dionysius the Areopagite ,3.17961E+13,,,,,,1897,"Pseudo-Dionysius, the Areopagite.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1897,1890,enk,eng,English,London ,"Parker,","Theology; History; Early church, ca. 30-600.| Theology; Early works to 1800.",The works of Dionysius the Areopagite /
BMC-BR-0042,BR65.D52 E57 1980,"Dionysius, the Areopagite, on the Divine names and Mystical Theology ",3.1796E+13,,,,,,1920,"Pseudo-Dionysius, the Areopagite.",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1920,1920,enk,eng,English,London ,Society for promoting Christian knowledge ;,,"Dionysius, the Areopagite, on the Divine names and Mystical Theology /"
BMC-BR-0043,BR65 .I7 1848 (vol. 2),"Sancti Irenaei episcopi lugdunensis Quae supersunt omnia : accedit apparatus continens ex iis, quae ab aliis editoribus aut de Irenaeo ipso aut de scriptis eius sunt disputata, meliora et iteratione haud indigna ",3.1796E+13,,,,,,1848-53.,"Irenaeus, Saint, Bishop of Lyon.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1848,1840,ge ,lat,Latin,Lipsiae ,"Weigel,",Heresy.| Gnosticism.,"Sancti Irenaei episcopi lugdunensis Quae supersunt omnia :accedit apparatus continens ex iis, quae ab aliis editoribus aut de Irenaeo ipso aut de scriptis eius sunt disputata, meliora et iteratione haud indigna /"
BMC-BR-0044,BR65.S44 A25 1902 (vol. 1 pt. 1),"The sixth book of the select letters of Severus, patriarch of Antioch: in the Syriac version of Athanasius of Nisibis ",3.1796E+13,,,,,,1902-,"Severus, Patriarch of Antioch.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1902,1900,enk,eng,English,"Lond.,","Williams,",Syriac language; Texts.,"The sixth book of the select letters of Severus, patriarch of Antioch:in the Syriac version of Athanasius of Nisibis /"
BMC-BR-0045,BR67 .S8,"Patristic study,",3.17961E+13,,,,,,1902,"Swete, Henry Barclay, 1835-1917.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1902,1900,   ,eng,English,London ,"Longmans, Green,",Fathers of the church; History and criticism.,"Patristic study,"
BMC-BR-0046,BR69 .M35 v.213,"Mitrale: sive, De officiis ecclesiasticis summa nunc primum in lucem prodit juxta apographum quod asservatur in bibliotheca comitis de L'Escalopier ",3.17961E+13,,,,,,1855,"Sicardus, Bishop of Cremona, -1215.",Not on shelf,,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1855,1850,fr ,lat,Latin,Paris ,,World history.,"Mitrale:sive, De officiis ecclesiasticis summa nunc primum in lucem prodit juxta apographum quod asservatur in bibliotheca comitis de L'Escalopier /"
BMC-BR-0047,BR75 .H65 1809 (vol. 2),"The works of the Right Reverend Father in God, Ezekiel Hopkins ... now first collected ",3.1796E+13,,,,,,1809,"Hopkins, Ezekiel, bp. of Derry, 1634-1690.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1809,1800,enk,eng,English,London ,"L. B. Seeley [etc.],",Theology; History; 17th century.| Theology; Early works to 1800.,"The works of the Right Reverend Father in God, Ezekiel Hopkins ... now first collected /"
BMC-BR-0048,BR75 .H65 1809 (vol. 3),"The works of the Right Reverend Father in God, Ezekiel Hopkins ... now first collected ",3.1796E+13,,,,,,1809,"Hopkins, Ezekiel, bp. of Derry, 1634-1690.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1809,1800,enk,eng,English,London ,"L. B. Seeley [etc.],",Theology; History; 17th century.| Theology; Early works to 1800.,"The works of the Right Reverend Father in God, Ezekiel Hopkins ... now first collected /"
BMC-BR-0049,BR75 .L54 1822 (vol. 6),"The whole works of the Rev. John Lightfoot, master of Catharine Hall, Cambridge ",3.1796E+13,,,,,,1822-1825.,"Lightfoot, John, 1602-1675.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1822,1820,enk,eng,English,London ,"Printed by J.F. Dove,",Theology; History; 17th century.,"The whole works of the Rev. John Lightfoot,master of Catharine Hall, Cambridge /"
